run_idx,arrival_rate_rps,max_batch_size,batch_timeout_ms,num_requests,num_batches,throughput_rps,throughput_tokens_per_s,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_wait_ms,p95_wait_ms,mean_service_ms,mean_batch_size,max_batch_size_realized,mean_batch_runtime_ms
0,20.0,1,0.0,200,200,7.307039950717481,233.8252784229594,9084.265539729708,8946.058834569712,16872.653806056005,17460.269660249167,8947.41121749464,16739.39550620586,136.85432223506723,1.0,1,136.85432223506723
1,20.0,1,0.0,200,200,7.427912890804394,237.6932125057406,8483.843457182938,8200.612948144082,16026.261917226271,16775.284332904856,8349.216137947951,15892.578099775961,134.62731923498723,1.0,1,134.62731923498723
2,20.0,1,0.0,200,200,7.464462032910365,238.8627850531317,9010.008146123826,9097.852403524606,16914.68284126861,17544.131418208985,8876.040018803858,16778.983253370166,133.9681273199676,1.0,1,133.9681273199676
0,20.0,1,10.0,200,200,7.460019474381458,238.72062318020664,8718.134596879054,8588.785134520649,16307.03931811423,16898.50497552771,8584.086689439388,16172.976908463997,134.04790743966714,1.0,1,134.04790743966714
1,20.0,1,10.0,200,200,7.419892613101507,237.43656361924823,8518.219702128063,8246.921157146828,16058.877882733372,16804.66256308662,8383.446862123037,15925.625099084733,134.7728400050255,1.0,1,134.7728400050255
2,20.0,1,10.0,200,200,7.430660490043837,237.7811356814028,9084.984789494,9175.620398989062,17037.278556273282,17662.392803916304,8950.407250748975,16904.323333222623,134.57753874502487,1.0,1,134.57753874502487
0,20.0,1,20.0,200,200,7.436987914449921,237.98361326239748,8739.62179756265,8608.95741806563,16385.806017999912,16981.53529278627,8605.158758022539,16249.3806660024,134.46303954011,1.0,1,134.46303954011
1,20.0,1,20.0,200,200,7.384430162482861,236.30176519945155,8566.80954094761,8247.069196650356,16167.989393707898,16928.285275626713,8431.389477652738,16034.058820607766,135.42006329487322,1.0,1,135.42006329487322
2,20.0,1,20.0,200,200,7.3748180055189625,235.9941761766068,9197.790974907552,9312.18411200883,17246.80938495792,17867.69960860613,9062.194408422567,17113.75263260654,135.59656648498276,1.0,1,135.59656648498276
0,20.0,4,0.0,200,72,19.89859817140819,636.755141485062,238.75340753608532,233.8666432067664,337.3177289930853,388.1340513439683,102.7336718815449,201.68009254320245,136.01973565454043,2.7777777777777777,4,136.05171743022817
1,20.0,4,0.0,200,74,19.774022121188473,632.7687078780311,238.6369427045356,229.16117820962359,388.74858528127623,440.9379000069878,103.28062979936203,255.15711373344243,135.35631290517355,2.7027027027027026,4,135.33531206774177
2,20.0,4,0.0,200,68,21.814715748289675,698.0709039452696,219.79450699507157,218.44522282899266,322.1801467886733,370.4108283224276,85.15304520526075,187.912292888336,134.64146178981082,2.9411764705882355,4,134.76537202929168
0,20.0,4,10.0,200,72,19.882816946923857,636.2501423015634,225.54777234864028,225.7575779386989,327.8946176566453,351.90890974295377,90.71708122884883,192.4302482146257,134.83069111979145,2.7777777777777777,4,134.823877194271
1,20.0,4,10.0,200,74,19.741603511736365,631.7313123755637,231.01246034192653,219.9183361248805,389.58854903909105,442.1063441710688,94.94894013695585,252.2354110395654,136.06352020497067,2.7027027027027026,4,136.27074985133487
2,20.0,4,10.0,200,68,21.61721906007322,691.7510099223431,230.2783554896725,233.12480018072552,337.6788836760445,438.5460730320562,95.42991145449395,202.18191082533872,134.84844403517855,2.9411764705882355,4,134.88045700014214
0,20.0,4,20.0,200,71,19.86781783141259,635.7701706052029,229.0890667440373,229.2857928452895,328.05237544225537,375.56145584914026,93.38187832388138,194.23214894149874,135.70718842015592,2.816901408450704,4,135.64805554950664
1,20.0,4,20.0,200,74,19.718159360668512,630.9810995413924,233.81208954005638,223.59675877499694,393.2657908131286,444.8302591885697,98.41307338013874,258.18217687826115,135.39901615991764,2.7027027027027026,4,135.32511197289185
2,20.0,4,20.0,200,67,21.615103783482184,691.6833210714299,236.5714138982179,232.7390774092994,349.58559660335993,435.1900660443564,100.25696582815215,209.2427345031904,136.31444807006574,2.985074626865672,4,136.27843823889717
0,20.0,8,0.0,200,70,19.908084244607334,637.0586958274347,202.9882193810733,204.48630949779954,264.6335808185153,270.9358917522555,66.59196198119909,126.7573600191436,136.3962573998742,2.857142857142857,7,135.72252687133317
1,20.0,8,0.0,200,73,19.730946088352766,631.3902748272885,206.1201753534468,208.82550395410618,267.96672130139734,271.88823674383724,68.91840692356512,132.15663814409675,137.20176842988167,2.73972602739726,7,136.66714715082105
2,20.0,8,0.0,200,67,21.550445835552882,689.6142667376922,206.57616243061702,206.47629555312727,264.7484981694434,272.82115012787233,69.48229093560444,127.50998281076562,137.09387149501254,2.985074626865672,8,136.5469398806725
0,20.0,8,10.0,200,70,19.883989087664958,636.2876508052786,202.57070934429714,201.62761351608538,261.2743044562313,272.1570755105963,66.37922339470347,125.82295503371424,136.19148594959367,2.857142857142857,8,135.67251238529414
1,20.0,8,10.0,200,73,19.7324424826944,631.4381594462208,202.27537291583852,202.10095944287355,264.96337579500596,274.25516572962636,64.9462119458813,126.98120259405279,137.32916096995723,2.73972602739726,6,136.88860643833323
2,20.0,8,10.0,200,67,21.722128031428515,695.1080970057125,202.33166022436635,202.23560373331503,261.32260762029574,269.18974289610276,66.18937511397105,126.02196748090672,136.14228511039528,2.985074626865672,8,135.59245064214934
0,20.0,8,20.0,200,70,19.868118936172188,635.77980595751,204.37551064800766,204.39247049545088,263.6595820345381,268.3220214952854,69.49088536242212,130.26516433231777,134.88462528558554,2.857142857142857,8,134.42637954336274
1,20.0,8,20.0,200,73,19.647193693905074,628.7101982049624,203.5192459255329,204.07682204131493,267.219579073161,278.5665484474246,66.30881333582852,130.89889595648614,137.2104325897044,2.73972602739726,7,136.66956076688882
2,20.0,8,20.0,200,67,21.57194583934629,690.3022668590813,207.07774112438338,206.57078684818566,265.9309521527621,269.9870853149434,71.01442849440258,129.80163086876675,136.06331262998083,2.985074626865672,8,135.5900637909823
0,28.0,1,0.0,200,200,7.356459310383896,235.4066979322847,10268.251917083546,10186.897109357498,19283.101201144113,20098.493729878075,10132.316957368828,19147.213183847503,135.9349597147184,1.0,1,135.9349597147184
1,28.0,1,0.0,200,200,7.4000582382776825,236.80186362488584,9943.976993240442,9731.146083732348,18847.154972690223,19699.387633827606,9808.842921615522,18712.180290089884,135.13407162492058,1.0,1,135.13407162492058
2,28.0,1,0.0,200,200,7.353030883438918,235.29698827004538,10481.31128404376,10551.167026229668,19733.440336309224,20514.632981810624,10345.312943243604,19592.949541910442,135.99834080015626,1.0,1,135.99834080015626
0,28.0,1,10.0,200,200,7.376319202279359,236.0422144729395,10254.711558639845,10183.291599348915,19220.96743599364,20025.61011381674,10119.142588184908,19086.348613239858,135.5689704549377,1.0,1,135.5689704549377
1,28.0,1,10.0,200,200,7.367682833388966,235.76585066844692,10066.174144206387,9859.585736257579,18947.12033613665,19810.01470734302,9930.44626033655,18812.37229273821,135.72788386983575,1.0,1,135.72788386983575
2,28.0,1,10.0,200,200,7.391155272283745,236.51696871307985,10396.209011038702,10471.132167744363,19579.93361690968,20366.366045397386,10260.912164583598,19442.051535910367,135.29684645510315,1.0,1,135.29684645510315
0,28.0,1,20.0,200,200,7.331019224575783,234.59261518642506,10409.931277780035,10386.479647331082,19397.497577421567,20192.856737266684,10273.524596885285,19263.82960457418,136.40668089475184,1.0,1,136.40668089475184
1,28.0,1,20.0,200,200,7.387815140008577,236.41008448027446,10015.675991694254,9821.471466749337,18901.086086948326,19745.24771788823,9880.31797568428,18763.442529445692,135.35801600997274,1.0,1,135.35801600997274
2,28.0,1,20.0,200,200,7.35053918266827,235.21725384538465,10512.16035884801,10609.189787219966,19747.600826020138,20518.26607536206,10376.11591705279,19613.00273117266,136.04444179522034,1.0,1,136.04444179522034
0,28.0,4,0.0,200,53,27.438911681180247,878.0451737977679,328.51202674215807,335.89009468863094,464.8136092087665,489.1397494647997,191.01406506232982,326.75702710584153,137.49796167982822,3.7735849056603774,4,137.5267703583374
1,28.0,4,0.0,200,55,26.645228260726935,852.6473043432619,326.2793410052171,288.7073280633054,585.8978506618611,645.7235389208897,189.69444986071886,452.0064919130916,136.58489114449821,3.6363636363636362,4,136.4733527812694
2,28.0,4,0.0,200,51,28.480164819019862,911.3652742086356,417.2013165453037,415.7869008852324,608.459808082357,646.7681197569079,279.465953450178,469.76812048512244,137.73536309512565,3.9215686274509802,4,137.6947307844246
